%Information über den Chatbot & Small Talk
Mein_Name;Mein Name ist CLaire CLever.
Krankheit;Die Fachstelle Studium und Behinderung (FSB) ist die erste Kontaktstelle für Studierende mit Behinderungen oder chronischen Krankheiten: https://www.disabilityoffice.uzh.ch/de.html.
ECTS;ECTS steht für “European Credit Transfer und Accumulation System”. 1 ECTS Credit entspricht einem durchschnittlichen studentischen Arbeitspensum von 30 Stunden. Ein Bachelorstudium umfasst 180 ECTS, ein Masterstudium 120.
Noten;Sobald die Noten bzw. die Information, ob sie bestanden oder nicht bestanden haben, elektronisch erfasst wurden, können Sie sie mit Hilfe Ihrer UZH-Login-Daten über den Link http://www.students.uzh.ch/record.html einsehen. 
Sprachenzentrum;Das Sprachenzentrum hat ein grosses Angebot für UZH Studierende und Mitarbeitende: https://www.sprachenzentrum.uzh.ch/de.html. Die Kurse sind grundsätzlich sehr beliebt, mein Tipp ist also, dich schnell zu bewerben! 
Rechtsberatung;Der VSUZH bietet Rechtsberatung für Studierende an, Details dazu findest du hier: https://vsuzh.ch/de/dienstleistungen#rechtsberatung
Barrierefreiheit;Die Fachstelle Studium und Behinderung (FSB) ist die erste Kontaktstelle für Studierende mit Behinderungen oder chronischen Krankheiten: https://www.disabilityoffice.uzh.ch/de.html.
Polybahn;Die Polybahn fährt von 6.45-19.15 (MO-FR) und 7.30-14 (SA) alle 2-5 Minuten zwischen Central & Polyterrasse hin- und her. Sie ist Mitglied des ZVV.
Bologna_2020;Im Rahmen der universitären Studienreform “Bologna 2020” überarbeitet die Philosophische Fakultät ihre Studiengänge. Detailierte Informationen dazu findest du hier: https://www.phil.uzh.ch/de/studium/bologna2020.html
Fakultäten;An der UZH gibt es 7 Fakultäten: theologische, rechtswissenschaftliche, wirtschaftswissenschaftliche, medizinische, vetsuisse, philosophische und mathematisch-naturwissenschaftliche Fakultät (siehe https://www.uzh.ch/about/faculties.html).

%Informationen zum Studium der Computerlinguistik
Studienberater_CL;Der Studienberater des Instituts für CL heisst Manfred Klenner. Seine Kontaktdaten findest du auf dieser Homepage.
Fragen_zum_Studium;Ich kann gerne versuchen, dir weiterzuhelfen. Falls du mehr Auskunft brauchst, kannst du dich an unsereren Studienberater Manfred Klenner wenden, dessen Kontaktdaten du auf dieser Homepage findest.
CL_Universitäten;In der Schweiz kann Computerlinguistik auf Deutsch nur in Zürich studiert werden. Des Weiteren kann man CL in Genf auf Französisch und an verschiedenen Universitäten in Deutschland auf Deutsch studiert werden. In englischer Sprache kann CL an verschiedenen Universitäten auf der ganzen Welt studiert werden.
Vorkenntnisse;Für das Computerlinguistik-Studium brauchst du keine spezifischen Vorkenntnisse. Du solltest offen sein, neue Werkzeuge am Computer kennenzulernen und dich für Sprache interessieren.
Kombination_mit_Phonetik;Phonetik wird innerhalb des neuen Monomasters Linguistik (120 ETCS) als Schwerpunkt angeboten. Darüber hinausgehend gibt es ein vielfältiges Angebot an Lehrveranstaltungen sowohl auf Bachelor- wie auch Master-Stufe.
Kombination_mit_Informatik;Computerlinguistik und Informatik ist eine gute Fächerkombination! Einige Informatik-Module wirst du sowieso belegen müssen, wenn du dich für das CL-Studium entscheidest.
Kombination_mit_anderem_Fach;Das Computerlinguistik-Studium kann grundsätzlich mit allen Fächern kombiniert werden, ausser mit sich selber.
Themen_für_Arbeiten;Vorschläge für Themen für Bachelor- und Masterarbeiten findest du unter https://www.cl.uzh.ch/de/studium/studies-tt/teaching/proof-accomplishment/BaMasterArbeit.html.
Sprache_in_Lehrveranstaltungen;Die Lehrveranstaltungen finden grundsätzlich auf Deutsch oder Englisch statt. Viele Dozenten zeigen sich flexibel, wenn es z.B. um Antworten in Prüfungen geht, denn da kann man oft auf Deutsch oder Englisch antworten.
Immatrikulation;Informationen zur Immatrikulation an der Universität Zürich findest du unter https://www.uzh.ch/cmsssl/de/studies/application.html
Module;Zum Thema Modulbuchung gibt es ein ausführliches FAQ auf unserer CL-Homepage: https://www.cl.uzh.ch/de/studium/studies-tt/faq/Modulbuchung.html.

%Diverses zu Computerlinguistik an der UZH
Weiterbildungskurse_an_UZH;An der UZH gibt es ein grosses Angebot an Weiterbildungen in allen möglichen Bereichen: https://www.weiterbildung.uzh.ch/de.html.
